Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Brett Murray,25,BUF,LW,2,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,15:56,7:58,
Matt Murray,25,DAL,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60:00,60:00,
Philippe Myers,27,TBL,D,5,0,0,0,-2,2,0,0,0,0,0,0,0,6,0.0,58:28,11:42,
Bradly Nadeau,18,CAR,LW,1,0,0,0,-3,0,0,0,0,0,0,0,0,3,0.0,19:08,19:08,
Riley Nash,34,NYR,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11:05,11:05,
Alex Nedeljkovic,28,PIT,G,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,2060:28,54:13,
Jake Oettinger,25,DAL,G,54,0,0,0,0,2,0,0,0,0,0,0,0,0,,3084:35,57:07,"ASG,ASnhl-9"
Oskar Olausson,21,COL,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11:50,11:50,
Gustav Olofsson,29,SEA,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,14:57,14:57,
Zack Ostapchuk,20,OTT,C,7,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,73:29,10:30,
Brennan Othmann,21,NYR,LW,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,27:15,9:05,
Jiří Patera,24,VEG,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,316:46,52:48,
Ondrej Pavel,23,COL,F,2,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,12:12,6:06,
Yaniv Perets,23,CAR,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,12:46,12:46,
Calvin Petersen,29,PHI,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,276:55,55:23,
Jacob Peterson,24,SJS,C,6,0,0,0,-3,2,0,0,0,0,0,0,0,3,0.0,79:30,13:15,
Alexander Petrovic,31,DAL,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,12:52,12:52,
Calvin Pickard,31,EDM,G,23,0,0,0,0,2,0,0,0,0,0,0,0,0,,1296:21,56:22,
Rem Pitlick,26,CHI,C,9,0,0,0,-7,2,0,0,0,0,0,0,0,13,0.0,140:17,15:35,
Andrew Poturalski,30,SEA,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13:45,6:53,
Samuel Poulin,22,PIT,RW,3,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,23:22,7:47,
Derrick Pouliot,30,DAL,D,5,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,60:42,12:08,
Ivan Prosvetov,24,COL,G,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,494:11,44:56,
Antti Raanta,34,CAR,G,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,1265:11,52:43,
Adam Raška,22,MIN,RW,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,34:03,6:49,
Pavol Regenda,24,ANA,F,5,0,0,0,-1,2,0,0,0,0,0,0,0,7,0.0,57:49,11:34,
James Reimer,35,DET,G,25,0,0,0,0,4,0,0,0,0,0,0,0,0,,1352:24,54:06,
Marshall Rifai,25,TOR,D,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23:19,11:40,
David Rittich,31,LAK,G,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,1364:31,56:51,
Georgi Romanov,24,SJS,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,59:15,29:38,
Filip Roos,25,CHI,D,4,0,0,0,-4,0,0,0,0,0,0,0,0,2,0.0,58:55,14:44,
Isak Rosen,20,BUF,RW,7,0,0,0,-3,0,0,0,0,0,0,0,0,8,0.0,60:06,8:35,
Scott Sabourin,31,SJS,F,3,0,0,0,0,9,0,0,0,0,0,0,0,3,0.0,27:50,9:17,
Mackie Samoskevich,21,FLA,RW,7,0,0,0,-3,0,0,0,0,0,0,0,0,11,0.0,84:16,12:02,
Felix Sandström,27,PHI,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,263:29,52:42,
Matthew Savoie,20,BUF,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3:55,3:55,
Brandon Scanlin,24,NYR,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,10:46,10:46,
Cole Schwindt,22,CGY,RW,4,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,27:10,6:48,
Brett Seney,27,CHI,LW,4,0,0,0,0,6,0,0,0,0,0,0,0,1,0.0,41:23,10:21,
Hunter Shepard,28,WSH,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,244:50,61:13,
Arturs Silovs,22,VAN,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,243:13,60:48,
Stuart Skinner,25,EDM,G,59,0,0,0,0,0,0,0,0,0,0,0,0,0,,3361:21,56:58,
Joe Snively,28,WSH,F,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,,25:02,8:21,
Arvid Söderblom,24,CHI,G,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,1744:20,54:31,
Victor Söderström,22,ARI,D,3,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,45:34,15:11,
Justin Sourdif,21,FLA,RW,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,26:31,8:50,
Alex Steeves,24,TOR,F,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,10:14,10:14,
Marián Studenič,25,SEA,RW,2,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,16:13,8:07,
Malcolm Subban,30,CBJ,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60:00,60:00,
Maksymilian Szuber,21,ARI,D,1,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,16:59,16:59,
Mads Søgaard,23,OTT,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,281:34,46:56,
Daniil Tarasov,24,CBJ,G,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,1376:28,57:21,
Jack Thompson,21,2TM,D,3,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,47:01,15:40,
Jack Thompson,21,SJS,D,2,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,35:22,17:41,
Jack Thompson,21,TBL,D,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11:39,11:39,
Matt Tomkins,29,TBL,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,360:13,60:02,
Semyon Varlamov,35,NYI,G,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,1594:44,56:57,
Matt Villalta,24,ARI,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,71:58,35:59,
Daniel Vladař,26,CGY,G,20,0,0,0,0,0,0,0,0,0,0,0,0,0,,1128:31,56:26,
Samuel Walker,24,MIN,C,4,0,0,0,-3,0,0,0,0,0,0,0,0,3,0.0,37:27,9:22,
Jesper Wallstedt,21,MIN,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,179:17,59:46,
Scott Wedgewood,31,DAL,G,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,1789:08,55:55,
Colin White,27,2TM,C,28,0,0,0,-5,4,0,0,0,0,0,0,0,16,0.0,266:38,9:31,
Colin White,27,MTL,C,17,0,0,0,-3,2,0,0,0,0,0,0,0,8,0.0,157:12,9:15,
Colin White,27,PIT,C,11,0,0,0,-2,2,0,0,0,0,0,0,0,8,0.0,109:26,9:57,
Ryan Winterton,20,SEA,C,9,0,0,0,-1,0,0,0,0,0,0,0,0,10,0.0,84:03,9:20,
Dustin Wolf,22,CGY,G,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,950:30,55:55,
Joseph Woll,25,TOR,G,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,1471:39,58:52,AR-4
League Average,,,,,,,,,,,,,,,,,,10.2,,18:43,
