Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Tomáš Nosek,31,NJD,C,36,2,4,6,-11,6,2,0,0,0,4,0,0,38,5.3,425:07,11:49,
Brayden Pachal,24,2TM,D,50,2,5,7,-3,51,2,0,0,0,4,0,1,52,3.8,733:50,14:41,
Brayden Pachal,24,CGY,D,33,1,5,6,-1,39,1,0,0,0,4,0,1,34,2.9,485:29,14:43,
Brayden Pachal,24,VEG,D,17,1,0,1,-2,12,1,0,0,0,0,0,0,18,5.6,248:21,14:37,
Isaak Phillips,22,CHI,D,33,0,6,6,-26,22,0,0,0,0,6,0,0,31,0.0,563:24,17:04,
Ryan Reaves,37,TOR,RW,49,4,2,6,-13,49,4,0,0,0,2,0,0,26,15.4,397:42,8:07,
Carson Soucy,29,VAN,D,40,2,4,6,10,12,1,1,0,0,3,1,0,29,6.9,699:25,17:29,
Jakub Vrána,27,STL,LW,21,2,4,6,-7,8,2,0,0,0,4,0,0,42,4.8,254:39,12:08,
Oliver Wahlstrom,23,NYI,RW,32,2,4,6,-6,8,1,1,0,0,3,1,0,41,4.9,354:15,11:04,
Simon Benoit,25,TOR,D,64,1,4,5,7,56,1,0,0,0,4,0,0,52,1.9,1102:36,17:14,
Samuel Bolduc,23,NYI,D,34,2,3,5,-4,6,1,1,0,0,3,0,0,32,6.3,446:56,13:09,
Nick Bonino,35,NYR,C,45,1,4,5,-12,8,1,0,0,0,4,0,0,31,3.2,551:26,12:15,
Nick DeSimone,29,2TM,D,34,2,5,7,3,4,2,0,0,1,5,0,0,28,7.1,458:21,13:29,
Nick DeSimone,29,CGY,D,23,1,4,5,-4,2,1,0,0,1,4,0,0,19,5.3,276:58,12:03,
Nick DeSimone,29,NJD,D,11,1,1,2,7,2,1,0,0,0,1,0,0,9,11.1,181:23,16:29,
Jamie Drysdale,21,2TM,D,34,3,7,10,-20,8,2,1,0,0,5,1,1,55,5.5,667:12,19:37,
Jamie Drysdale,21,ANA,D,10,1,4,5,-2,4,1,0,0,0,3,0,1,21,4.8,215:53,21:35,
Jamie Drysdale,21,PHI,D,24,2,3,5,-18,4,1,1,0,0,2,1,0,34,5.9,451:19,18:48,
Haydn Fleury,27,TBL,D,24,1,4,5,5,20,1,0,0,0,4,0,0,25,4.0,386:58,16:07,
Justin Holl,32,DET,D,38,0,5,5,8,22,0,0,0,0,5,0,0,14,0.0,573:07,15:05,
Reese Johnson,25,CHI,F,42,2,3,5,-20,40,2,0,0,0,3,0,0,51,3.9,459:11,10:56,
Caleb Jones,26,COL,D,25,0,5,5,4,8,0,0,0,0,5,0,0,19,0.0,305:12,12:12,
Axel Jonsson-Fjällby,25,WPG,LW,26,2,3,5,6,0,2,0,0,1,3,0,0,23,8.7,210:56,8:07,
John Klingberg,31,TOR,D,14,0,5,5,-7,8,0,0,0,0,3,2,0,14,0.0,287:43,20:33,
Brendan Lemieux,27,CAR,LW,32,3,2,5,0,64,3,0,0,1,2,0,0,29,10.3,256:13,8:00,
Jake Lucchini,28,MIN,F,40,2,3,5,-3,23,2,0,0,0,3,0,0,22,9.1,383:55,9:36,
John Ludvig,23,PIT,D,33,3,2,5,-12,47,3,0,0,1,2,0,0,24,12.5,389:36,11:48,
Olle Lycksell,24,PHI,RW,18,1,4,5,0,6,1,0,0,0,4,0,0,29,3.4,179:02,9:57,
Jacob Markström,34,CGY,G,48,0,5,5,0,0,0,0,0,0,3,2,0,0,,2831:07,58:59,ASnhl-8
Emil Martinsen Lilleberg,22,TBL,D,37,0,5,5,-15,16,0,0,0,0,5,0,0,31,0.0,599:34,16:12,
Scott Mayfield,31,NYI,D,41,0,5,5,-7,35,0,0,0,0,5,0,0,36,0.0,769:21,18:46,
Matthew Phillips,25,2TM,F,31,1,4,5,-3,0,1,0,0,0,4,0,0,21,4.8,315:39,10:11,
Matthew Phillips,25,WSH,F,28,1,4,5,-3,0,1,0,0,0,4,0,0,17,5.9,281:40,10:04,
Matthew Phillips,25,PIT,F,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,33:59,11:20,
Jared Spurgeon,34,MIN,D,16,0,5,5,5,2,0,0,0,0,2,3,0,21,0.0,373:14,23:20,
Marc Staal,37,PHI,D,35,1,4,5,2,14,1,0,0,0,4,0,0,20,5.0,483:25,13:49,
Troy Stecher,29,2TM,D,54,1,6,7,9,32,1,0,0,0,6,0,0,51,2.0,978:26,18:07,
Troy Stecher,29,ARI,D,47,1,4,5,5,24,1,0,0,0,4,0,0,45,2.2,866:25,18:26,
Troy Stecher,29,EDM,D,7,0,2,2,4,8,0,0,0,0,2,0,0,6,0.0,112:01,16:00,
Dominic Toninato,29,WPG,C,15,1,4,5,7,6,1,0,0,1,4,0,0,12,8.3,152:52,10:11,
Shane Wright,20,SEA,C,8,4,1,5,1,0,4,0,0,3,0,1,0,12,33.3,108:17,13:32,
Jaret Anderson-Dolan,24,2TM,C,31,1,3,4,-5,6,0,0,1,0,3,0,0,31,3.2,342:33,11:03,
Jaret Anderson-Dolan,24,LAK,C,30,1,3,4,-4,6,0,0,1,0,3,0,0,29,3.4,328:54,10:58,
Jaret Anderson-Dolan,24,NSH,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13:39,13:39,
Ethan Bear,26,WSH,D,24,1,3,4,-5,10,1,0,0,1,3,0,0,24,4.2,357:44,14:54,
Louis Belpedio,27,PHI,D,12,2,2,4,6,0,2,0,0,1,2,0,0,12,16.7,158:26,13:12,
Nicolas Deslauriers,32,PHI,LW,60,1,3,4,-7,89,1,0,0,0,3,0,0,49,2.0,488:58,8:09,
Derek Forbort,31,BOS,D,35,0,4,4,8,17,0,0,0,0,4,0,0,22,0.0,622:47,17:48,
Jonah Gadjovich,25,FLA,LW,39,2,2,4,0,104,2,0,0,0,2,0,0,29,6.9,289:49,7:26,
Brendan Gaunce,29,CBJ,C,24,2,2,4,-7,6,2,0,0,0,2,0,0,24,8.3,281:53,11:45,
Taylor Hall,32,CHI,LW,10,2,2,4,-3,4,2,0,0,1,1,1,0,20,10.0,163:18,16:20,
Jansen Harkins,26,PIT,C,45,0,4,4,-4,21,0,0,0,0,4,0,0,37,0.0,369:22,8:12,
Ross Johnston,29,ANA,LW,68,1,3,4,-12,117,1,0,0,0,3,0,0,44,2.3,557:24,8:12,
Marat Khusnutdinov,21,MIN,C,16,1,3,4,-3,6,0,1,0,0,3,0,0,6,16.7,209:46,13:07,
Vladislav Kolyachonok,22,ARI,D,5,1,3,4,5,2,1,0,0,0,3,0,0,5,20.0,62:22,12:28,
William Lagesson,27,2TM,D,40,0,4,4,3,32,0,0,0,0,4,0,0,19,0.0,591:54,14:48,
William Lagesson,27,TOR,D,30,0,4,4,5,19,0,0,0,0,4,0,0,12,0.0,435:26,14:31,
William Lagesson,27,ANA,D,10,0,0,0,-2,13,0,0,0,0,0,0,0,7,0.0,156:28,15:39,
Ilya Lyubushkin,29,2TM,D,74,0,8,8,-11,57,0,0,0,0,8,0,0,47,0.0,1267:14,17:07,
Ilya Lyubushkin,29,ANA,D,55,0,4,4,-13,51,0,0,0,0,4,0,0,38,0.0,943:11,17:09,
Ilya Lyubushkin,29,TOR,D,19,0,4,4,2,6,0,0,0,0,4,0,0,9,0.0,324:03,17:03,
James Malatesta,20,CBJ,LW,11,2,2,4,-1,5,2,0,0,0,2,0,0,12,16.7,112:23,10:13,
Mason Morelli,27,VEG,F,9,3,1,4,-3,0,2,1,0,0,1,0,0,9,33.3,96:47,10:45,
Matthew Nieto,31,PIT,LW,22,1,3,4,5,4,1,0,0,0,3,0,0,13,7.7,255:27,11:37,
Tyler Pitlick,32,NYR,C,34,1,3,4,-6,4,1,0,0,0,3,0,0,32,3.1,346:44,10:12,
Jesse Puljujärvi,25,PIT,RW,22,3,1,4,2,6,3,0,0,0,1,0,0,29,10.3,202:09,9:11,
Rasmus Ristolainen,29,PHI,D,31,1,3,4,-6,8,1,0,0,0,3,0,0,46,2.2,517:25,16:41,
Kevin Rooney,30,CGY,C,33,3,1,4,-4,2,3,0,0,0,1,0,0,27,11.1,370:07,11:13,
Chad Ruhwedel,33,2TM,D,52,1,3,4,-6,4,1,0,0,0,3,0,0,35,2.9,660:25,12:42,
Chad Ruhwedel,33,PIT,D,47,1,3,4,-4,4,1,0,0,0,3,0,0,34,2.9,589:45,12:33,
Chad Ruhwedel,33,NYR,D,5,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,70:40,14:08,
Zach Sanford,29,2TM,LW,29,0,6,6,0,6,0,0,0,0,5,1,0,24,0.0,314:16,10:50,
Zach Sanford,29,CHI,LW,18,0,4,4,-3,2,0,0,0,0,3,1,0,15,0.0,212:30,11:48,
Zach Sanford,29,ARI,LW,11,0,2,2,3,4,0,0,0,0,2,0,0,9,0.0,101:46,9:15,
Devin Shore,29,SEA,C,21,1,3,4,3,4,1,0,0,0,3,0,0,15,6.7,168:09,8:00,
Landon Slaggert,21,CHI,LW,16,1,3,4,1,4,1,0,0,0,3,0,0,14,7.1,180:14,11:16,
Givani Smith,25,SJS,RW,36,1,3,4,-13,40,1,0,0,0,3,0,0,31,3.2,281:08,7:49,
Spencer Stastney,24,NSH,D,20,2,2,4,9,4,2,0,0,1,2,0,0,11,18.2,319:40,15:59,
Akil Thomas,24,LAK,C,7,3,1,4,0,2,3,0,0,1,1,0,0,9,33.3,61:06,8:44,
Alex Turcotte,22,LAK,C,20,1,3,4,5,6,1,0,0,0,3,0,0,14,7.1,185:36,9:17,
Austin Watson,32,TBL,LW,33,2,2,4,2,93,2,0,0,0,2,0,0,17,11.8,239:44,7:16,
Maxwell Willman,28,NJD,C,18,3,1,4,1,2,3,0,0,1,1,0,0,17,17.6,149:59,8:20,
